,address,postal_code,country,federal_district,region_type,region,area_type,area,city_type,city,settlement_type,settlement,kladr_id,fias_id,fias_level,capital_marker,okato,oktmo,tax_office,timezone,geo_lat,geo_lon,population,foundation_year
0,г Москва,101000.0,Россия,Центральный,г,Москва,,,,Москва,,,7700000000000,0c5b2444-70a0-4932-980c-b4dc0d3f02b5,1,0,45000000000,45000000,7700,UTC+3,55.7540471,37.620405,11514330,1147
1,г Санкт-Петербург,190000.0,Россия,Северо-Западный,г,Санкт-Петербург,,,,Санкт-Петербург,,,7800000000000,c2deb16a-0330-4f05-821f-1d09c93331e6,1,0,40000000000,40000000,7800,UTC+3,59.9391313,30.315900399999997,4848742,1703
2,г Новосибирск,630000.0,Россия,Сибирский,обл,Новосибирская,,,г,Новосибирск,,,5400000100000,8dea00e3-9aab-4d8e-887c-ef2aaa546456,4,2,50401000000,50701000001,5400,UTC+7,55.02819100000001,82.9211489,1498921,1893
3,г Екатеринбург,620000.0,Россия,Уральский,обл,Свердловская,,,г,Екатеринбург,,,6600000100000,2763c110-cb8b-416a-9dac-ad28a55b4402,4,2,65401000000,65701000001,6600,UTC+5,56.8385216,60.605491099999995,1377738,1723
4,г Нижний Новгород,603000.0,Россия,Приволжский,обл,Нижегородская,,,г,Нижний Новгород,,,5200000100000,555e7d61-d9a7-4ba6-9770-6caa8198c483,4,2,22401000000,22701000001,5200,UTC+3,56.3240627,44.00539129999999,1250615,1221
5,г Казань,420000.0,Россия,Приволжский,Респ,Татарстан,,,г,Казань,,,1600000100000,93b3df57-4c89-44df-ac42-96f05e9cd3b9,4,2,92401000000,92701000001,1600,UTC+3,55.7943584,49.1114975,1216965,1005
6,г Самара,443000.0,Россия,Приволжский,обл,Самарская,,,г,Самара,,,6300000100000,bb035cc3-1dc2-4627-9d25-a1bf2d4b936b,4,2,36401000000,36701000,6300,UTC+4,53.195030599999996,50.1069518,1164900,1586
7,г Омск,644000.0,Россия,Сибирский,обл,Омская,,,г,Омск,,,5500000100000,140e31da-27bf-4519-9ea0-6185d681d44e,4,2,52401000000,52701000001,5500,UTC+6,54.9848566,73.3674517,1154000,1716
8,г Челябинск,454000.0,Россия,Уральский,обл,Челябинская,,,г,Челябинск,,,7400000100000,a376e68d-724a-4472-be7c-891bdb09ae32,4,2,75401000000,75701000001,7400,UTC+5,55.16026239999999,61.400807799999995,1130273,1736
9,г Ростов-на-Дону,344000.0,Россия,Южный,обл,Ростовская,,,г,Ростов-на-Дону,,,6100000100000,c1cfe4b9-f7c2-423c-abfa-6ed1c05a15c5,4,2,60401000000,60701000001,6100,UTC+3,47.2224566,39.718803,1091544,1749
10,г Уфа,450000.0,Россия,Приволжский,Респ,Башкортостан,,,г,Уфа,,,200000100000,7339e834-2cb4-4734-a4c7-1fca2c66e562,4,2,80401000000,80701000001,200,UTC+5,54.73494399999999,55.9578468,1062300,1574
11,г Волгоград,400000.0,Россия,Южный,обл,Волгоградская,,,г,Волгоград,,,3400000100000,a52b7389-0cfe-46fb-ae15-298652a64cf8,4,2,18401000000,18701000001,3400,UTC+3,48.7070042,44.5170339,1021244,1589
